Categoria,Herramienta,Metodo_Python,Libreria,Aplicacion,Resultado,Ejemplo_Codigo
"Estadística Descriptiva","Medidas de Tendencia Central","mean(), median(), mode()","pandas; numpy","Calcular promedio, mediana y moda","Valores típicos de ventas","df['importe'].mean()"
"Estadística Descriptiva","Medidas de Dispersión","std(), var(), quantile()","pandas; numpy","Medir variabilidad de ventas","Desviación estándar, varianza, cuartiles","df['importe'].std()"
"Estadística Descriptiva","Medidas de Forma","skew(), kurtosis()","pandas; scipy.stats","Analizar simetría y curtosis","Identificar sesgos y forma","df['cantidad'].skew()"
"Estadística Descriptiva","Coeficiente de Variación","(std() / mean()) * 100","pandas; numpy","Comparar variabilidad relativa","% de variación respecto a media","(df['importe'].std() / df['importe'].mean()) * 100"
"Análisis de Distribución","Test de Shapiro-Wilk","shapiro()","scipy.stats","Evaluar normalidad (n < 5000)","p-value > 0.05 indica normal","stats.shapiro(df['importe'])"
"Análisis de Distribución","Test de D'Agostino-Pearson","normaltest()","scipy.stats","Evaluar normalidad vía skewness/kurtosis","Determinar si es normal","stats.normaltest(df['cantidad'])"
"Análisis de Distribución","Análisis de Skewness","skew()","pandas","Identificar sesgo",">0: derecha, <0: izquierda","df['precio_unitario'].skew()"
"Análisis de Distribución","Análisis de Kurtosis","kurtosis()","pandas","Identificar forma de picos",">0: leptocúrtica, <0: platicúrtica","df['importe'].kurtosis()"
"Análisis de Correlación","Correlación de Pearson","corr(method='pearson'), pearsonr()","pandas; scipy.stats","Medir relación lineal","r entre -1 y 1","df[['cantidad','importe']].corr()"
"Análisis de Correlación","Correlación de Spearman","corr(method=\"spearman\"), spearmanr()","pandas; scipy.stats","Medir relación monotónica","Correlación basada en rangos","stats.spearmanr(df['cantidad'], df['importe'])"
"Análisis de Correlación","Matriz de Correlación","corr()","pandas","Crear matriz de correlaciones","Tabla con todas las correlaciones","df[cols_numericas].corr()"
"Análisis de Correlación","Test Chi-cuadrado","chi2_contingency()","scipy.stats","Evaluar asociación entre categorías","p-value < 0.05 indica asociación","stats.chi2_contingency(pd.crosstab(df['cat1'], df['cat2']))"
"Detección de Outliers","Método IQR","quantile(0.25), quantile(0.75)","pandas; numpy","Identificar valores atípicos","Outliers: Q1-1.5×IQR o Q3+1.5×IQR","Q1 = df['importe'].quantile(0.25); IQR = Q3 - Q1"
"Detección de Outliers","Límites Extremos","Q1 - 3*IQR, Q3 + 3*IQR","pandas; numpy","Detectar valores extremos","Outliers más allá de 3×IQR","upper_extreme = Q3 + 3 * IQR"
"Detección de Outliers","Filtrado Booleano","Boolean indexing","pandas","Extraer outliers","DataFrame con solo outliers","outliers = df[df['importe'] > upper_bound]"
"Detección de Outliers","Porcentaje de Outliers","len() / len() * 100","pandas; numpy","Calcular proporción de outliers","% de valores atípicos","(len(outliers) / len(df)) * 100"
"Análisis por Grupos","GroupBy con Agregaciones","groupby().agg()","pandas","Calcular estadísticas por segmento","Estadísticas segmentadas","df.groupby('categoria').agg({'importe': ['mean', 'sum']})"
"Análisis por Grupos","Tablas de Contingencia","pd.crosstab()","pandas","Crear tablas de frecuencia cruzada","Matriz de conteos por categorías","pd.crosstab(df['categoria'], df['medio_pago'])"
"Preparación de Datos","Merge/Join","merge()","pandas","Unir múltiples DataFrames","Dataset consolidado","df1.merge(df2, on='id', how='left')"
"Preparación de Datos","Conversión de Tipos","pd.to_datetime(), astype()","pandas","Convertir tipos de datos","Datos en formato correcto","df['fecha'] = pd.to_datetime(df['fecha'])"
"Preparación de Datos","Manejo de Valores Nulos","dropna(), isna()","pandas","Eliminar o identificar nulos","Dataset limpio","df['col'].dropna()"

